Candidate	Prompt	Prompt Source	Transformer_Text
Sanders	In America today, we have more wealth and income inequality than any other major country on Earth and it is worse now than at any other time since the 1920s.	FoxNews	The gap between the rich and everyone else is widening. While this problem was supposed to worsen when the middle class grew richer, we have actually seen the rich gain more than ever, while ordinary people have lost ground, often severely, to the super-rich. We are on the verge of another huge financial crisis if these trends persist.  Yet the political leaders of the Democratic and Republican parties have not done anything to address this. In fact, most Democratic politicians, and almost all of them, are worse than ever about addressing income inequality.  For example, as Wall Street and Wall Street-type politicians continue to benefit from "too big to fail" banks, the amount of wealth created and owned by the richest 1% of Americans has continued to grow. For decades, we have focused on inequality, but our efforts to create jobs and to provide services like social welfare and affordable prescription drugs failed to move the money-power machine they've created. As a result, there hasn't been any progress toward the middle class. The only people who see that are those with wealth at the top, those who see how easily those at the top are able to move wealth into and from their pockets, and those like the super-rich who
Sanders	In 2016 Bernie Sanders arrived on the Democratic presidential scene with all the surprise of a thunderclap in a blue sky.	bbc	His campaign launched with a slick advertising campaign that played on Hillary Clinton's weaknesses. He attacked Sanders on Wall Street — even though Clinton had no personal ties to the financial industry or the investment banks. He criticized her for her lack of knowledge on economic issues — even though she had over five years in the Senate to know the real issues — and even though she had won the endorsement of the labor movement.  He built an unlikely coalition of progressive-leaning and liberal candidates — particularly from the left, from the Democratic Party establishment and from across the political spectrum.  On the campaign trail, Sanders took on Hillary Clinton's record as secretary of state and for a long period, he ran a very positive and inspiring public image of her. He also turned his strong attack on "the establishment" away from Clinton and towards Trump: He said that "one of the things that is failing America is not only Donald Trump, but the entire political establishment."  It was an extraordinary political feat. But it was also an amazing political misadventure, one that had little to do with Sanders. It's one of the reasons why this isn't even a presidential primary anymore.  The two candidates and many of Bernie Sanders voters now blame him as "the nominee," not
Weld	Bill Weld	Text	Bill Weld has a plan to change the state's marijuana laws so that they are based on scientific research and safe alternatives," the former Republican governor said in a statement. "We will take real action to provide patients with the treatment they need by setting aside a year from July 1 to study the safety and efficacy of cannabidiol oil for medical abuse. We can also do better by focusing on proven strategies to reduce marijuana-related deaths and reduce other harms and harms, by providing additional help to parents with families impacted by the war on drugs and by ensuring that all patients have access to the appropriate forms of treatment."  At this stage, there are few concrete plans to achieve that goal but Weld said he'll continue to pursue them.  "For too long, the policy decisions of this government have been rooted in science," Weld said. "We need a change in policy from an approach that punishes the responsible use of marijuana and punishes harm reduction through policy innovation aimed at reducing the negative effects of cannabis prohibition."  A recent poll commissioned by the Colorado Chamber of Commerce showed the voters of that state were in favor of legalizing marijuana for recreational use rather than recreational sales.
Weld	William Floyd Weld (born July 31, 1945) is an American attorney, businessman, and Republican politician who served as the 68th Governor of Massachusetts from 1991 to 1997. Weld is running for the Republican nomination for President of the United States in 2020.	Wikipedia	Weld is first known for serving as the Chairman of the U.S. Senate Budget Committee from 1996 until 2001.[1] He was elected Lieutenant Governor (U.S. Senate) of Rhode Island, where he was the longest serving governor in state history. Before becoming Lieutenant Governor, Weld served as a lawyer and legislative director at a law firm in Providence. He previously worked as a lawyer for former President George W. Bush.[2] Weld was elected to the U.S. House of Representatives and the State Legislature from Rhode Island in 1972 and served for 25 consecutive years (1982-2004).  Throughout his career, Weld has served as a United States Senator, a state senator, member of the New England Law Review, and as a member of the General Assembly (the New England Legislature, which has direct authority to enact the state constitution.) Weld is a longtime social conservative, but has generally supported gay rights and LGBT civil rights issues throughout his political life.  A senior fellow at the Washington Examiner, Weld was formerly a member of the Executive Committee of Common Cause Rhode Island,[3] and wrote extensively about law, medicine, and international politics.
Weld	I will not sit quietly on the sidelines any longer while our President praises despotic leaders, insults democratic allies, unravels arms control agreements and rails against the rule of law.	BallotPediaQuote	I will speak out with no fear because I know what the truth is in this country.  And I know that the truth may not always be what the majority wants it to be.  And I know that to ensure the health of the American people, we must begin by returning to our roots -- our heritage and our values that have helped to make me who I am as well as my country's leader in international affairs.  We need to stop scapegoating one group of Americans -- Muslim Americans.  We need to stop scapegoating one group of Americans -- African-Americans.  We need to stop scapegoating one group of Americans – Jews.  We need to stop scapegoating one group of Americans -- women – simply because they are women.  The bottom line is that this administration will not be held responsible until it pays these high prices.  And with all I've said and all that I believe, there can be no doubt that if we elect Donald Trump President, we will do so knowing that he will be a friend, not a foe of those who seek to sow division, who seek to divide, who seek to create terror in our cities, who seek
Weld	During an interview with CNN's Don Lemon, 2020 Republican challenger Bill Weld defended a remark he made about President Trump's stance on immigration.	CNN	"I have said that I think the president is the problem. They're not the problem," Weld said in an exclusive interview on Tuesday. "I think he's a dangerous president. I think he's not competent at doing anything."  At an event in Manchester, N.H., in November, Trump called Mexican immigrants criminals and rapists. Weld has said Trump's position on trade and trade agreements will impact the manufacturing sector.  Elected in 2014, Weld is running for governor of Massachusetts.
Weld	President Trump's 2020 campaign made it clear on Tuesday that it wasn't worried about a primary challenge by the former governor of Massachusetts, Bill Weld.	FoxNews	In an email sent out to reporters, campaign manager Zac Moffatt assured them that the Massachusetts Republican could run in 2020 after he secured enough signatures to make the November ballot. The email states: "The campaign will continue, as always, to work closely with state officials and the Trump administration."  The email, apparently intended for journalists, didn't sit well with some observers.  "It is a bit concerning that a campaign would attempt to stave off primary challengers by going all in with something of this magnitude," Eric O'Keefe, a political science professor and professor at James Madison University, told the Independent Record.  "When campaign finance laws are so flexible that it is legal for a foreign candidate to solicit foreign donations, when that candidate can raise millions, the president and his team can afford to raise more money," O'Keefe said in an interview Wednesday after the emails were first reported by The Huffington Post.  The campaign was not immediately available for comment. But Moffatt responded to The Associated Press earlier this year when asked why Weld was on the campaign's short list of possible presidential candidates.  The Weld campaign did not immediately respond to a request for comment by email Wednesday.  Trump's allies in Massachusetts had
Weld	Former Massachusetts Governor Bill Weld has become the first Republican to challenge Mr Trump in 2020.	bbc	So far, Mr Trump does not appear to have any interest in Mr Johnson, even though he is a former governor and current governor of New Mexico. In fact, he endorsed the Libertarian candidate Gary Johnson in the 2016 election. But Mr Trump has told associates that he does not see Mr Johnson as a viable alternative, even though he is running in the Republican primary for the presidency in a bid to secure his party's nomination.
Warren	Elizabeth Warren	Text	Elizabeth Warren took an interesting turn last night with her suggestion that the GOP should have to pay a huge price for killing legislation. She said a president with his campaign funds is worth it when they get back to Washington.   "So my message to a lot of Americans in Congress today, to make sure they get their paychecks, but that if they don't pay their bills, this is an important lesson if this should happen."   If the president gets his way, lawmakers won't have to pay anything to get it done.   Warren said she doesn't think any of her fellow Democrats are willing pay a price for the president's agenda though.   Her colleague, Sen. Patty Murray (D-WA), had this to say about Warren's comments   "I think our job is to work with anyone who is able to come together, but our job is not to pay them to stop or stand up for something they're not passionate about," Murray said.   This interview comes as Senator Bernie Sanders has said Warren was right.   She is absolutely right, so why is she not doing the same thing on the Trump train?   Bernie Sanders told CNN's Wolf Blitzer Tuesday night, "We know what he is. He is a racist, sexist, homophobic maniac!"   If Warren had told us that she wasn't interested in getting involved
Warren	Elizabeth Ann Warren (née Herring; born June 22, 1949) is an American politician and former law school professor serving as the senior United States Senator from Massachusetts since 2013	Wikipedia	Warren and Obama met at an event organised by Hillary Clinton's 2008 Presidential campaign (the second time Clinton herself had been nominated for president). A year earlier, Obama appointed Warren to his Supreme Court nomination team. They were engaged from early 2015 on. They have both criticized Obama's presidency.  Obama and Clinton meet in 2015 at White House Press Secretary Josh Earnest's first event as Press Secretary.  Warren's husband, former Massachusetts Governor Bill, played an important role in Hillary Clinton's 2008 Presidential campaign. He helped her raise funds through Bill's firm, the John F. Kennedy Presidential Library. Warren also gave to Obama's 2008 presidential campaign.  During the presidential campaign, Obama had to address a group of white evangelical men who opposed his plans to increase defense spending. Warren had a meeting with them, and she suggested that they stop funding him during the campaign if he was to be elected. Obama chose not to do so.  Warren was named US Senator by President Obama in 2012 after serving eight terms on the state senate, including four term as the sole Republican to be elected to her senate seat in 2008. During this time, she was involved in several progressive causes and was a frequent
Warren	Every person in America should be able to work hard, play by the same set of rules, & take care of themselves & the people they love. That’s what I’m fighting for, & that’s why I’m launching an exploratory committee for president	BallotPediaQuote	"A political revolution," Sanders declared. ‒The future of our country and the world relies on it."  *This article was updated at 12:47 p.m. to note Clinton's pledge to expand Medicaid under Obamacare, her commitment to free college tuition for students, and her promise that the next president will use an executive order to create the Consumer Financial Protection Bureau.
Warren	Sen. Elizabeth Warren said she will go on Wednesday to a facility in Homestead, Florida, that's holding unaccompanied migrant children -- a suddenly announced visit amid a fight on Capitol Hill over funding for the program that cares for such children and controversy over conditions at some border facilities.	CNN	"It is our hope that at the end of this session the debate will not last very long," said Warren of the House hearing on a bill aimed at defunding the program.  She hopes to make the case that House leadership is not using it "to ram through a partisan policy that would hurt families."  At the same hearing, the Judiciary Committee's top Democrat called for lawmakers to vote on an amendment to overhaul the immigration system, known as the Secure Communities bill, that would have created a pathway for the families to come into the country.  But Republican Rep. Don Young of Alabama had concerns about the amendment that would make "comfortable claims about what immigration systems will look like without border security, without any real border security." Young asked for clarification on whether that means any funding for sanctuary municipalities would come from an appropriation for the Department of Homeland Security.  Young also warned lawmakers it is wrong to blame the parents of the children for the problems the immigrant children are facing at the border.  "You have the parents of one child -- two children, one is from Haiti,
Warren	Sen. Elizabeth Warren, D-Mass., is the latest 2020 Democrat to be in favor of decriminalizing border crossing as the field of candidates continue to move left on immigration.	FoxNews	Her position aligns with that of Hillary Clinton, Sen. Bernie Sanders of Vermont, who would open up the legal pathway to citizenship for all illegal immigrants in the country. Warren's support for ending President Obama's Deferred Action for Childhood Arrivals, which makes it easier for young illegal immigrants who were brought here illegally as minors to stay in the U.S., was widely applauded last week.  Warren's position is in keeping with President Trump's calls to "make childhood illegal." His top adviser Kellyanne Conway suggested during an interview with "Face The Nation" the president intends to put the issue on the president's agenda when next year's convention convenes.  "I think President Trump believes that President Eisenhower's idea of putting an end to the 'war on drugs' has failed and it's time for all Americans to put an end to that," Conway said.  Clinton also pushed for the legalization of illegal aliens last year but she never had serious discussions about using criminal prosecutions to help them come and go as citizens. She did say once it became clear she would be a 2016 presidential candidate, she would push for legal status for those who were already citizens through a pathway to citizenship, an attempt
Warren	US Democrat Elizabeth Warren has proposed breaking up tech giants like Amazon, Facebook and Google if elected to the US presidency in 2020.	bbc	She is calling for a crackdown on fake news by the Trump administration.   The US tech company executive is the subject of widespread interest from Democratic politicians in the US, and has taken to Twitter in recent days. She has praised the president's decision to fire former FBI Director James Comey, which she says hurt the US's reputation.  In November, Warren announced that she would file suit in Washington challenging President Trump to be removed from office. Her lawyer is said to be prepared to offer a trial.  Facebook Twitter Pinterest Elizabeth Warren arrives at a news conference with representatives from tech companies on Capitol Hill in Washington, DC, 24 November 2013. Photograph: Olivier Douliery/AFP/Getty Images  "The president has broken his promise to the American people and I hope that he is impeached," she told MSNBC on Thursday.  Warren also has urged the Trump administration to ban tech companies such as Facebook and Google that produce their own content after they have used the platform's ads without paying a cent to their developers.   "The president can't hire an army of lawyers from Silicon Valley to go through and figure out if the things his team says are true," she told the MSNBC team a day later. "They have to hire a real, experienced
